Class D,1-Channel (Mono),20W x 1 @ 4 Ohm,4.5 V ~ 15 V,Depop   Short-Circuit and Thermal Protection,Surface Mount,-40°C ~ 85°C (TA),16-SO,16-SOIC (0.154"   3.90mm Width) Exposed Pad
Class AB,1-Channel (Mono),2.5W x 1 @ 8 Ohm,10 V ~ 22 V,Short-Circuit and Thermal Protection,Through Hole,0°C ~ 70°C (TA),8-PDIP,8-DIP (0.300"   7.62mm)
Class AB,1-Channel (Mono),25W x 1 @ 8 Ohm,16 V ~ 60 V   ±8 V ~ 30 V,Short-Circuit and Thermal Protection,Through Hole,0°C ~ 70°C (TA),TO-220-5,TO-220-5 Formed Leads
Class AB,1-Channel (Mono),1.4W x 1 @ 8 Ohm,2.7 V ~ 5.5 V,Depop   Differential Inputs   Short-Circuit Protection   Shutdown,Surface Mount,-40°C ~ 85°C (TA),10-VSSOP,10-TFSOP   10-MSOP (0.118"   3.00mm Width)
Class AB,2-Channel (Stereo),40W x 2 @ 8 Ohm,20 V ~ 60 V   ±10 V ~ 30 V,Depop   Mute   Thermal Protection,Through Hole,-20°C ~ 85°C (TA),TO-220-15,TO-220-15 Formed Leads
Class AB,1-Channel (Mono),1.5W x 1 @ 8 Ohm,2 V ~ 5.5 V,Shutdown   Thermal Protection,Surface Mount,-40°C ~ 85°C (TA),8-SOIC,8-SOIC (0.154"   3.90mm Width)
Class AB,2-Channel (Stereo) with Stereo Headphones,3.2W x 2 @ 3 Ohm; 440mW x 2 @ 8 Ohm,2 V ~ 5.5 V,Depop   Shutdown   Thermal Protection,Surface Mount,-40°C ~ 85°C (TA),16-SOIC,16-SOIC (0.295"   7.50mm Width)
Class AB,1-Channel (Mono),1W x 1 @ 8 Ohm,2.2 V ~ 5.5 V,Depop   Shutdown   Thermal Protection,Surface Mount,-40°C ~ 85°C (TA),8-SOIC,8-SOIC (0.154"   3.90mm Width)
Class AB,2-Channel (Stereo) with Stereo Headphones,2.2W x 2 @ 3 Ohm; 92mW x 2 @ 32 Ohm,2.7 V ~ 5.5 V,Bass Boost   Depop   Mute   Shutdown   Thermal Protection   Volume Control,Surface Mount,-20°C ~ 85°C (TA),28-HTSSOP,28-TSSOP (0.173"   4.40mm Width) Exposed Pad
Class AB,1-Channel (Mono),-,2.4 V ~ 5.5 V,Microphone   Shutdown,Surface Mount,-40°C ~ 85°C (TA),SOT-23-8,SOT-23-8
Class AB,1-Channel (Mono),3W x 1 @ 3 Ohm,4.5 V ~ 5.5 V,Depop   Mute   Shutdown   Thermal Protection,Surface Mount,-40°C ~ 85°C (TA),12-TQFN (4x4),12-WQFN Exposed Pad
Class D,2-Channel (Stereo),2.8W x 2 @ 4 Ohm,4.5 V ~ 5.5 V,Depop   Short-Circuit and Thermal Protection   Shutdown,Surface Mount,-40°C ~ 85°C (TA),16-TQFN (5x5),16-WQFN Exposed Pad
Class D,1-Channel (Mono) with Stereo Headphones,1.5W x 1 @ 4 Ohm; 60mW x 2 @ 16 Ohm,2.7 V ~ 5.5 V,Depop   Differential Inputs   I²C   Mute   Short-Circuit and Thermal Protection   Shutdown   Volume Control,Surface Mount,-40°C ~ 85°C (TA),32-TQFN-EP (5x5),32-WFQFN Exposed Pad
